Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Pee Safe,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Shaival Desai, Alkemi Venture Partners","$3,000,000.00",Pre-series B
Chqbook,New Delhi,FinTech,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Aavishkaar Venture Capital, YWC Venture Capital","$1,000,000.00",
SimpliContract,Bangalore,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",Kalaari Capital,"$1,800,000.00",Seed
Dropshop,Bangalore,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,Inflection Point Ventures,"$1,000,000.00",Pre-series A
Jumbotail,Bangalore,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,Alteria Capital,"$4,000,000.00",Debt
BYJU'S,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Tiga Investments, Baron Capital","$350,000,000.00",
Power Gummies,New Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,"Venture Catalysts, 9unicorns","$1,000,000.00",
Convosight,New Delhi,SaaS,A mission - to help community builders become community entrepreneurs.,Qualgro,"$9,000,000.00",Series A
Junio,New Delhi,FinTech,Junio is a kids-focused digital pocket money-smart card.,"Amit Lakhotia, Pravin Jadhav","$600,000.00",Seed
Wherehouse.io,New Delhi,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",Better Capital,$nan,Seed
Flexmoney,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Pravega Ventures,"$4,800,000.00",Series A
Fampay,Bangalore,FinTech,India's first numberless card and UPI without a bank account,"Greenoaks Capital, Elevation Capital","$38,000,000.00",Series A
Apna,Bangalore,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,"Sequoia Capital India, rocketship.vc","$70,000,000.00",Series B
XYXX Apparels,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",,"$4,000,000.00",Series A
WaterScience,Bangalore,D2C,The aim of making good water affordable and accessible.,,$nan,
BrowserStack,Mumbai,SaaS,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,Accel,"$200,000,000.00",Series B
Vital,New Delhi,InsureTech,"An affordable, digital health plan built around to cover both big and small expenses",BLinC Invest,"$3,000,000.00",Pre-series A
Juicy chemistry,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,Spring Marketing Capital,$nan,
Samaaro,Bangalore,SaaS,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Chaitanya Kalipatnapu, Kedar Gavane","$125,000.00",
Imagimake,Mumbai,Innovation Management,An innovative play system to help children create their imagination,"Roha Investment Managers, angel investor Saumil Shah","$500,000.00",Pre-series A
MSMEx,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"TNF Ventures, Razorpay","$1,000,000.00",Pre-series A
RenewBuy,Gurugram,InsureTech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Lok Capital, IIFL Asset Management","$45,000,000.00",Series C
saarthi.ai,Bangalore,AI,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,Nvidia Inception,$nan,Seed
Kutumb,Bangalore,Community platform,Kutumb is a social community enabler.,"Tiger Global Management, DST Global","$26,000,000.00",Series A
Superplum,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Marquee investors,"$3,800,000.00",Pre-series A
Upside AI,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,Endiya Partners,"$1,200,000.00",Seed
PazCare,Bangalore,InsureTech,Paz Care is India's leading Employee Benefits & Health insurance platform,"Ashish Hemrajani, Parikshit Dar",$nan,
Answer Genomics,Bangalore,HealthCare,A healthcare company that uses genome-based data to help individuals make decisions.,"India Accelerator, Lyxel&Flamingo",$nan,
Skillmatics,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Sequoia Capital India,"$6,000,000.00",Series A
Bimaplan,Bangalore,InsureTech,Affordable insurance for the next billion Indians,"Roshan Abbas, Ritesh Malik","$2,500,000.00",Pre-series A
Bueno Finance,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Goat Capital, JAM Fund","$3,000,000.00",Seed
CityMall,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"General Catalyst, Jungle Ventures","$22,000,000.00",Series B
BYJU’S,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Blackstone Group, ADQ","$50,000,000.00",
India Quotient,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,,"$64,000,000.00",
The Switch Fix,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Venture Catalysts, 9unicorns",$nan,Seed
Anvidha Technologies,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,,"$1,500,000.00",Seed
DigiSparsh,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,GoAhead Ventures,$nan,Seed
CoffeeMug.ai,New Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Paradigm Shift Capital, AngelList India","$620,000.00",Pre-seed
Pathfndr.io,Bangalore,SaaS,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Arali Ventures,$nan,Pre-series A
BigLeap,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,Anup Kumar Yama,"$600,000.00",
Kazam,Bangalore,EV,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",Inflection Point Ventures,"$900,000.00",Seed
MYRE Capital,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,Aryaman Vir,$nan,
BimaPe,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',"iSeed, Titan Capital","$500,000.00",Pre-seed
MicroDegree,Mangalore,EdTech,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,Research Innovation Incubation Design Labs,$nan,
Saarthi Pedagogy,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Sushil Agarwal,"$1,000,000.00",
Synapsica,New Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"IvyCap Ventures, Endiya Partners","$4,000,000.00",Series A
Kwik Foods,Gurugram,Food & Beverages,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,9Unicorns,$nan,Seed
Plutomen,Ahmadabad,AR,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,"GUSEC Seed Fund, DeVX Venture Fund","$300,000.00",
GoMechanic,Gurugram,Automotive,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.","Tiger Global, Sequoia","$42,000,000.00",Series C
Grinntech,Chennai,Automotive,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",,"$2,000,000.00",
Nobel Hygiene,Mumbai,HealthCare,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",Quadria Capital,"$60,000,000.00",
Green Cure,New Delhi,HealthCare,World's first company to combine German Engineering with Indian Ayurveda in health products,Venture Catalysts,$nan,Pre-series A
Classplus,Noida,EdTech,Classplus was born out of an urge to redefine classroom engagement in this country.,Tiger Global,"$65,000,000.00",Series C
WINDO,Hyderabad,E-commerce,Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.,Unicorn India Ventures,"$500,000.00",Seed
ApnaKlub,Bangalore,E-commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.,"Blume Ventures, Whiteboard Capital",$nan,Pre-series A
LegalPay,New Delhi,FinTech,A tech focused B2B litigation finance company in India.,Ashwini Kakkar. 9Unicorns,$nan,
Lavado,Mumbai,Consumer Services,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,Ashish Shah,$nan,
Navars,Hyderabad,EdTech,"Navars Edutech comprises dynamic mix of intellectual professionals, managerial team, Subject matter experts and Astronomy and Space researchers.",Faad Network,$nan,
GoBolt,Gurugram,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Paragon Partners, Aavishkaar Capital","$20,000,000.00",Series B
Loco,Bangalore,Gaming,Loco is India's leading live game streaming app.,"Krafton, Lumikai","$9,000,000.00",Seed
Auric,New Delhi,HealthCare,Contemporary Beauty & Wellness Brand Based on Ayurveda,Venture Catalysts,"$2,000,000.00",Pre-series A
Edmingle,Bangalore,EdTech,Edmingle is a platform for all educators who want to launch their courses and sell them online.,"Indovation Fund, Mumbai Angels","$300,000.00",
Slice,Bangalore,FinTech,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.","Gunosy, Blume Ventures","$20,000,000.00",
Humit,Bangalore,Music,Humit is a social networking app for music sharing and discovery.,Antler India,$nan,Pre-seed
Airblack,Gurugram,IT,Airblack is on a mission to help people convert their passion to a livelihood.,"Edge Ventures, Elevation Capital","$5,200,000.00",Series A
NIRAMAI,Bangalore,HealthCare,"NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.",CDC Group,$nan,
Intervue,New Delhi,SaaS,World's fastest collaborative environment to take tech interviews.,"Titan Capital, Kunal Shah",$nan,Seed
Nestroots,Gurugram,Fashion,"Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.",We Founder Circle,"$100,000.00",Seed
Detect Technologies,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.,"Accel Partners, Elevation Capital","$12,000,000.00",
CredR,Bangalore,Automotive,CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology & Processes to simplify the Used Two-wheeler Market.,"Yamaha Motors, Omidyar Network India, Eight Roads Ventures","$6,500,000.00",
Fourth Partner Energy,Hyderabad,Solar,"Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.","Norfund, The Rise Fund","$125,000,000.00",
TABLT,Kolkata,HealthCare,TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.,Siti Cable,"$3,000,000.00",Series A
Hesa,Hyderabad,IT,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Venture Catalysts, 9unicorns","$2,000,000.00",Seed
Powerhouse91,Gurugram,Consumer Goods,"A tech-driven company that acquires, operates, and scales outstanding ecommerce brands in India.",Crossbeam Venture Partners,$nan,Seed
Nalanda Learning,Kolkata,EdTech,India's 1st Online Preschool with Blended Learning Model,Aavishkaar Capital,"$5,000,000.00",
Chargeup,New Delhi,Renewable Energy,"""Battery as a Service"" for 3 wheeler & 2 wheelers",Mapmyindia,$nan,Pre-series A
Knackit,Bangalore,IT,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,Jyoti Bansal,"$100,000.00",
Treebo Hotels,Bangalore,Hospitality,Treebo Hotels is India's most loved hotel chain in the premium-budget segment.,Accor,"$16,000,000.00",Series D
Raptee Energy,Chennai,Automotive,Raptee Energy Inc. is looking to accelerate the transition to smart and sustainable mobility!,,"$700,000.00",
Meddo,Gurugram,HealthCare,Meddo (Arctern Healthcare) are re-defining how primary and secondary healthcare is provided in India through a connected care delivery platform.,"SRI Capital, Picus Capital, Alkemi Capital","$6,000,000.00",
Supertails,Bangalore,Pet care,Supertails is building a digital pet care platform which offers expert led healthcare services and products.,"Saama Capital, DSG Consumer Partners","$2,600,000.00",Pre-series A
SkilloVilla,Bangalore,EdTech,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,Titan Capital,"$300,000.00",Seed
Cancer Clinics,Telugana,HealthCare,"Cancer Helpline is a source of information and support, helping with all the things that people affected by cancer want and need.",Axilor,"$1,500,000.00",Pre-series A
Velocity,Bangalore,FinTech,Velocity provides revenue-based-financing to online businesses. It aims to build the future of banking and financial services for new age businesses in India.,Valar Ventures,"$1,300,000.00",Seed
Happy Jars,New Delhi,Food & Beverages,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.",Inflection Point Ventures,"$400,000.00",Seed
Inshorts,Noida,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Addition, SIG Global India Fund","$40,000,000.00",
ExtraaEdge,Pune,MarTech,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"9Unicorns Accelerator Fund, Indian Angel Network","$1,000,000.00",Pre-series A
Zotalabs,Pune,Tech Startup,Zotalabs gives the power of Emerging Technology to your digital automation with our easy to use APIs.,Alfa Ventures,"$1,250,000.00",Seed
Voiro,Bangalore,Advertisement,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,1Crowd,"$1,800,000.00",Pre-series A
Dream Sports,Mumbai,Gaming,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","TCV, D1 Capital Partners, Falcon Edge.","$400,000,000.00",
Safex Chemicals,New Delhi,AgriTech,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,BanyanTree Finance Pvt. Ltd.,"$50,000,000.00",
Instoried,Bangalore,Content creation,Instoried is an augmented writing platform which improves customer interest and engagement.,"EXPERT DOJO, Mumbai Angels",$nan,
Rupifi,Bangalore,FinTech,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,Quona Capital,"$4,100,000.00",Pre-series A
Moneyboxx,Mumbai,FinTech,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,"Ashv Finance, BlackSoil Capital","$3,000,000.00",Debt
CityMall,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"WaterBridge Ventures, SAIF Partners","$11,000,000.00",Series A
Janani,Bangalore,HealthCare,Janani.ai is a fertility care provider.,"Sweta Rau, 9Unicorns Accelerator Fund","$1,000,000.00",Seed
ReshaMandi,Bangalore,AgriTech,India's 1st award winning technology led digital ecosystem for Silk,"Omnivore, Strive Ventures","$1,700,000.00",Seed
Bombay Shaving Company,New Delhi,Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Rajesh Sud, KULDEEP JAIN","$2,000,000.00",
DotPe,Gurugram,FinTech,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,"PayU, Google","$27,000,000.00",Series A
Homingos,Bangalore,AR,Homingos is an Augmented reality (AR)-based social networking platform.,"Sundi Natarajan, Srinivas Anumolu",$nan,
Anar Business Community,Mumbai,Tech Startup,Anar is a communications and networking platform for businesses around the world.,"Titan Capital, First Cheque",$nan,
Five Star Finance,Chennai,FinTech,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,"TPG Capital Asia, Epiq Capital","$234,000,000.00",
Settlrs,Bangalore,Rental space,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",MaGEHold Pte. Ltd.,$nan,Pre-series A
BYJU'S,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"BlackRock, Owl Ventures","$460,000,000.00",Series F
Annapurna Finance,Bhubaneswar,FinTech,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,"Asian Development Bank, Oman India Joint Investment Fund","$30,000,000.00",
HealthPlix,Bangalore,HealthCare,HealthPlix is a healthtech startup,"JSW Ventures, Kalaari Capital","$13,500,000.00",Series B
Masai School,Bangalore,EdTech,Masai School is a job-oriented software training services.,"Unitus Ventures, Omidyar Network India","$5,000,000.00",Series A
Bewakoof,Mumbai,D2C Fashion,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.","IvyCap Ventures, Pratithi Investment Trust","$4,000,000.00",
IndiaLends,New Delhi,FinTech,IndiaLends is a digital lending and borrowing marketplace.,"ACPI Investments, AdvantEdge Founders","$5,100,000.00",
Stelis Biopharma,Bangalore,BioTechnology,Stelis Biopharma is a vertically integrated biopharmaceutical company.,"RouteOne, Mankekar Family Office","$195,000,000.00",Series B
Tilt,Bangalore,Bike Rental,A bike-share for Indian campuses,Y Combinator,"$125,000.00",
NeoDove,Jaipur,AI,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",India Quotient,"$15,000,000.00",Seed
Zaara Biotech,Kottayam,BioTechnology,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,TCN International Commerce,"$10,000,000.00",
KreditBee,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Alpine Capital, PremjiInvest","$75,000,000.00",Seed
True Balance,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Bon Angels Venture Partners, Daesung Private Equity","$10,000,000.00",Debt
Muvin,Bangalore,FinTech,Youth Neobank enabling financial solutions for the teenagers and young people,,"$1,000,000.00",Seed
Purplle,Mumbai,Beauty products,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.","Spring Marketing Capital, Verlinvest","$45,000,000.00",
FloBiz,Bangalore,Tech Startup,India’s first neobusiness platform,Elevation Capital,"$10,000,000.00",Series A
Jeevam Health,New Delhi,HealthCare,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,Y Combinator,"$1,500,000.00",Pre-seed
NewLink Group,Beijing,Tech Startup,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,Bain Capital,"$200,000,000.00",
OZiva,Mumbai,HealthCare,OZiva is a plant-based Clean Nutrition Brand.,"F-Prime Capital, Eight Roads Ventures India","$12,000,000.00",Series B
Blive,Panaji,Tourism,B: Live is an electric vehicle tourism startup.,"Mumbai Angels, DNA Entertainment Networks","$1,000,000.00",Pre-series A
Nazara Technologies,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Hornbill Capital Advisers, Plutus Wealth Management","$30,000,000.00",
Euler Motors,New Delhi,Automotive,Electric Light Commercial Vehicle,"ADB Ventures, Jetty Ventures","$2,600,000.00",Series A
Pixxel,Bangalore,SpaceTech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Techstars, Ryan Johnson","$7,300,000.00",Seed
Prescinto,Gujarat,Solar,Prescinto is the brain of a solar plant delivering Actionable Intelligence to Increase Generation.,"Venture Catalysts, 9Unicorns Accelerator Fund","$3,500,000.00",Seed
MyGlamm,Mumbai,Beauty products,MyGlamm is a direct-to-consumer brand of award winning European beauty products.,Bessemer Venture Partners,"$20,000,000.00",Series C
Chirrup,Bangalore,Gaming,Video integrated social-gaming platform,"Titan Capital, iSeed, First Cheque, 3.0 Fund.","$300,000.00",Pre-seed
Policybazaar,Gurugram,Insurance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Falcon Edge Capital, White Oak Global Advisors","$75,000,000.00",
Livve Homes,Bangalore,Rental space,"India's homegrown online portal, championing the region for a brighter, more exciting livvable future. Right from simply connecting owners and tenants and to managing everything in between",Angel investors,"$5,000,000.00",
Juicy Chemistry,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,Akya Ventures,"$6,300,000.00",Series A
Svasti Microfinance,Mumbai,FinTech,Svasti works with urban slum dwellers women microentrepreneurs.,"Kayenne Ventures, Nordic Microfinance Initiative","$4,000,000.00",
Nexprt,New Delhi,Consulting,Nexprt Solutions offers end-to-end and 100% customized import solutions.,Titan Capital,"$2,000,000.00",
Wysa,Bangalore,AI,Wysa is an AI conversational agent that has been shown to help improve mental health,"Kae Capital, Pi Ventures",$nan,
Ankur capital,Mumbai,FinTech,Early stage venture capital fund focused on opportunities created by rising aspirations & digital access for next billion Indians.,,"$40,000,000.00",
Indifi,Gurugram,FinTech,Indifi Technologies is a digital lending platform that offers loans to those that have potential and intent.,"Elevar Equity, Accel India","$5,000,000.00",Debt
Firmway,Mumbai,FinTech,Firmway is a platform that digitizes balance confirmation and reconciliation process.,,$nan,Pre-seed
Say Cheese,Mumbai,FemTech,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",,"$1,000,000.00",Seed
Indic Inspirations,Pune,Cultural,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",Marquee investors,"$300,000.00",
Bimaplan,Mumbai,FinTech,Affordable insurance for the next billion Indians,"Titan Capital, Y Combinator","$500,000.00",Seed
YAP,Chennai,FinTech,YAP is the API Platform for Banking and Payments products in Asia. More than 200 Fintechs across Asia rely on YAP,"Jitendra Gupta, Better Capital","$10,000,000.00",Series B
Leap Finance,Bangalore,FinTech,Leap Finance is a fintech startup for Indian students pursuing international higher education,Jungle Ventures,"$17,000,000.00",Series B
BlackSoil NBFC,Mumbai,FinTech,BlackSoil Capital has transformed into an alternative NBFC and AIF Fund platform with an expertise to finance multiple sectors.,,"$3,000,000.00",
OYO,Gurugram,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Hindustan Media Venture,"$200,000,000.00",
Max Healthcare,New Delhi,HealthCare,Max Healthcare is one of the leading chain of hospitals in India.,"Radiant Life Care Private Ltd, Life Healthcare","$140,000,000.00",
4baseCare,Bangalore,HealthTech,4baseCare develops a unified and patient-centric ecosystem to fight cancer.,"Mount Judi Ventures, growX Ventures, Season Two Ventures","$2,000,000.00",Pre-series A
Ezstays,New Delhi,EdTech,"Ezstays is a leading student-life network, providing hostels and PG accommodation with top-tier living facilities at the best prices.",Richard Rekhy,"$400,000.00",Seed
Stylework,Gurugram,Co-working,Stylework is an unconventional co-working space aggregator that is going to change the way people work.,Inflection Point Ventures,"$500,000.00",Pre-series A
Kinara Capital,Bangalore,FinTech,Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs.,"GAWA Capital, Gaja Capital","$6,000,000.00",
Riskcovry,Bangalore,InsureTech,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Better Capital, Bharat Inclusion Seed Fund","$5,000,000.00",Series A
NODWIN,Gurugram,Gaming,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Krafton,"$20,000,000.00",
Quizizz,Bangalore,EdTech,Quizizz is a Education based startup,"Eight Roads Ventures India, Nexus Venture Partners","$12,500,000.00",Series A
Ecom Express,New Delhi,E-commerce,Ecom Express is an end-to-end technology-enabled logistics solutions provider to the Indian e-commerce industry.,"CDC Group, Partners Group","$20,000,000.00",
Turtlemint,Mumbai,InsureTech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,Jungle Ventures,"$45,000,000.00",Series D
Captain Fresh,Bangalore,Supply chain platform,Captain Fresh is a freshwater fish and seafood supply chain platform.,"Matrix Partners India, Ankur Capital","$3,000,000.00",Seed
Northern Arc,Chennai,FinTech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"U.S. International Development Finance Corp, Asian Development Bank","$10,000,000.00",Debt
Qoohoo,Bangalore,Social platform,A platform for creators to build immersive connections with their fans and followers and monetize them.,Angel investors,"$800,000.00",Seed
IGL,Mumbai,Gaming,Indian Gaming League is the premier eSports platform in India.,"Hungama, Hindustan Talkies","$500,000.00",
AMPM,Gurugram,E-commerce,24*7 convenience store,Agility Venture Partners,"$200,000.00",
The ePlane,Chennai,Drone,"Transforming the mobility landscape using aerial transport. Currently, we build drones for industrial applications","Speciale Invest, Farid Ahsan","$1,000,000.00",Seed
Cashify,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Bessemer Venture Partners, CDH Investments","$15,000,000.00",
Bijnis,New Delhi,B2B service,Digitizing the Factories of the Unorganised Industries.,"Sequoia Capital India, Matrix Partners India",$nan,
Questt,Gurugram,EdTech,Questt is a homework app that allows teachers to allocate objective and subjective homework based on selected content.,"Chiratae Ventures, AET Fund","$1,000,000.00",Seed
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Omidyar Network, Falcon Edge Capital","$3,000,000.00",Debt
Euler Motors,New Delhi,Automotive,Electric Light Commercial Vehicle,"Jetty Ventures, Srinivas Anumolu","$4,000,000.00",Series A
Blume Ventures,Mumbai,FinTech,Blume Ventures provides pre-series A and early stage funding to tech-focused/tech-enabled ventures.,Avendus,"$40,000,000.00",
KoineArth,Bangalore,Blockchain,"Koinearth is a stealth mode startup working at the intersection of blockchains, machine learning and mechanism design",YourNest,"$1,800,000.00",Pre-series A
ImaginXP,Pune,EdTech,ImaginXP is a curriculum company with a focus on training and certification in UX Design and Design Thinking.,Venture Catalysts,"$1,500,000.00",
Virohan,Gurugram,EdTech,Virohan is an edtech company using technology to prepare a future-ready workforce for the healthcare industry.,"National Skill Development Corporation, Rianta Capital",$nan,
Apna.co,Bangalore,Recruitment,Apna is a recruitment platform that gives opportunities for blue or grey collar jobs.,"Sequoia Capital India, Rocketship.vc","$12,500,000.00",
ideaForge,Mumbai,Drone,ideaForge is an Indian company engaged in the development of unmanned aerial systems.,"Infosys, Qualcomm Ventures","$2,000,000.00",
Clairco,Bangalore,CleanTech,Clairco provides enhanced air purification and real-time insights for breathable air indoors.,"Real Estate Accelerator Program (REAP), AngelList","$500,000.00",
Northern Arc,Chennai,FinTech,Northern Arc Capital (Formerly known as IFMR Capital) is a Non-Banking Finance Company.,"Asian Development Bank, U.S. International Development Finance Corp","$50,000,000.00",Debt
Lenskart,Faridabad,Fashion,Lenskart is an India-based online shopping portal for eyewear.,"Kohlberg Kravis Roberts, Temasek Holdings","$95,000,000.00",
ParkSmart,New Delhi,Automotive,ParkSmart is a parking management application.,"Shireen Rangaswamy, Dilesh Gathani",$nan,Seed
Virohan,Gurugram,EdTech,Virohan is an EdTech company that offers healthcare vocational training to students to build a career in the healthcare industry.,"Rebright Partners, Wadhwani Foundation","$3,000,000.00",Series A
BankSathi,New Delhi,FinTech,"Bank Sathi provides loans, insurance, cards comparison, and approval facility.","Dinesh Godara, Aditya Talwar","$200,000.00",Seed
Spark Studio,Bangalore,EdTech,Online courses to build creativity and confidence in children through extra-curricular learning,Better Capital,$nan,Seed
BlissClub,Bangalore,Fashion,"BlissClub is a community first women’s activewear brand. It is a Direct-to-Consumer brand in the active lifestyle space, founded in 2020 by ISB Alum Minu Margeret",Elevation Capital,"$2,000,000.00",Seed
BricSpaces,Bangalore,Real Estate,"A prop-tech company that finds and customizes offices, living, or retail spaces based on your requirements.",Angel investors,"$350,000.00",Pre-seed
ANSR,Bangalore,Consulting,"ANSR Consulting is providing end-to-end services for companies, setting up captive service centers.","Sistema Asia Capital, Evolvence India Fund","$15,000,000.00",Series B
Keito,Pune,AI,"NO-CODE <> Human-assisted machine learning platform for document processing, to break information silos for enterprises","Rajesh Agarwal, Nandkishore Mundada",$nan,Seed
Reccy Adventures,Gurugram,Sports,Reccy Adventures is an adventure sports startup.,"Kallol Banerjee, Jaydeep Barman","$400,000.00",Seed
