Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
ReDesyn,Mumbai,Merchandise,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",Anthill Ventures,"$300,000.00",Pre-series A
Inspacco,Pune,Facilities Services,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",,"$200,000.00",
Knorish,Gurugram,EdTech,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate","$1,000,000.00",Pre-series A
Dozee,Bangalore,HealthCare,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",Prime VP,"$5,000,000.00",Series A
BlackBuck,Bangalore,Logistics & Supply Chain,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"Tribe Capital, IFC Emerging Asia Fund, VEF","$67,000,000.00",Series E
Mailmodo,Bangalore,Marketing & Advertising,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Sequoia’s Surge, Y Combinator","$2,000,000.00",Seed
SuperBeings,Bangalore,Computer Software,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",Endiya Partners,$nan,Seed
NirogStreet,New Delhi,HealthCare,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,"Gokul Rajaram, Pureland Venture, Wavemaker Partners","$2,500,000.00",Series A
Hyreo,Thiruvananthapuram,Human Resources,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,Callapina Capital,$nan,Pre-series A
GODI Energy,Hyderabad,Automotive,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,Blue Ashva Capital,$nan,
Even,Bangalore,HealthCare,One monthly subscription to cover all your healthcare needs.,Khosla Ventures,"$5,000,000.00",Seed
Captain Fresh,Bangalore,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Accel Partners, Matrix India","$12,000,000.00",Series A
Otipy,Gurugram,Food & Beverages,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,"Omidyar Network India, Innoven Capital","$10,200,000.00",Series A
Lenskart,Faridabad,Eyewear,India's fastest growing eyewear company and largest eyewear company online.,"Temasek, Falcon Edge","$220,000,000.00",
Eka.care,Bangalore,HealthCare,A digitally enabled and connected healthcare ecosystem for better health outcomes.,"Deep Kalra, Ashish Kashyap, Rajesh Magow","$4,500,000.00",
