Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Qin1,Noida,EdTech,Re-imagining Kids of 21st Century!,Venture Catalysts,0.0,Pre-series A,2021
DotPe,Gurugram,FinTech,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.","Info Edge, Ruizheng Investment",8000000.0,Seed,2021
Taskmo,Bangalore,B2B Marketplace,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,Quess Corp India,1400000.0,,2021
MasterMentors,West Bengal,EdTech,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,,1500000.0,,2021
KIKO TV,Mumbai,E-commerce,KIKO TV is an AI-based short live video e-commerce platform.,"Sunil Kumar Singhvi, 9Unicorns Accelerator Fund",0.0,Pre-series A,2021
Quali55Care,Mumbai,HealthCare,Deliver highly durable & affordable medical equipments on rental and sale.,India Accelerator’s Angel Investor Network,0.0,Seed,2021
Ruptok,New Delhi,FinTech,Ruptok operates as a fintech platform for gold loans,Wurk,10000000.0,,2021
RevFin,New Delhi,FinTech,RevFin is a digital lending company.,Shell Foundation,0.0,,2021
SeeVC,New Delhi,Tech Startup,Leverages artificial intelligence (AI) to build products for the education sector,Jimmy Singh,1000000.0,Seed,2021
Junio,New Delhi,EdTech,Junio is a kids-focused digital pocket money-smart card.,"Kunal Shah, Deepak Abbot",1000000.0,,2021
VenWiz,Bangalore,B2B service,Digitising the interactions between core industry and vendors for engineering services,"Accel, Nexus Venture",300000.0,Seed,2021
Vista Rooms,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""","Singapore Angel Network, Artha India Ventures",1000000.0,,2021
Makers Hive,Hyderabad,Tech Startup,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable","Starfish Growth Partners, Investpad",9000000.0,,2021
Headfone,Bangalore,Social audio,Headfone helps create and share the audio content with listeners.,Hashed,3000000.0,Seed,2021
Zouk,Mumbai,Fashion & Lifestyle,100% Vegan bags from India.,Titan Capital,0.0,Seed,2021
MPL,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Pegasus Tech Ventures, Base Partners",5000000.0,,2021
GrowFix,Bangalore,FinTech,Building high-yield Debt assets for retail investors,"Zerodha's Rainmatter Capital, Better Capital",2000000.0,Seed,2021
Bombay Shaving Company,New Delhi,Fashion & Lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Sixth Sense Ventures, Colgate Palmolive",6000000.0,,2021
Dunzo,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Lightbox, Evolvence India Fund",40000000.0,Series E,2021
BeyondSkool,Mumbai,EdTech,BeyondSkool is a live upskilling platform for kids,Tomorrow Capital,2000000.0,Seed,2021
Mindler,New Delhi,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,"Inflection Point Ventures, DLabs",1000000.0,Pre-series A,2021
Fashinza,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Accel Partners, Elevation Capital",2600000.0,Seed,2021
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"InnoVen Capital, Steadview Capital",6000000.0,Debt,2021
Turnip,Bangalore,Gaming,Turnip is a live game streaming and community platform.,Elevation Capital,1600000.0,Seed,2021
Furlenco,Bangalore,Home Decor,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,BlackSoil Capital,2000000.0,,2021
Inficold,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,Shell Foundation,900000.0,Pre-series A,2021
KIWI,New Delhi,TaaS startup,"A peer to peer support network, which would enable billions of users across the world","PointOne Capital, Core91 VC",250000.0,Seed,2021
Digit Insurance,Bangalore,FinTech,Digit Insurance is a financial services company that general insurance services.,"A91 Partners, Faering Capital",0.0,,2021
BharatPe,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"InnoVen Capital, Steadview Capital",10000000.0,Debt,2021
MFine,Bangalore,HealthCare,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Blockchain Capital, SBI Ven Capital",16000000.0,,2021
Udayy,Gurgaon,EdTech,Interactive learning platform for kids,Alpha Wave Incubation,2500000.0,Seed,2021
Lohum,Noida,EV,Lohum manufactures lithium-ion battery packs and recovers critical battery materials from used lithium-ion batteries through recycling.,"Baring Private Equity Partners India, Talbros",7000000.0,,2021
Darwinbox,Hyderabad,HRTech,Darwinbox is an end-to-end enterprise HR software that enables enterprises to automate entire employee lifecycle in one HR platform.,"Sequoia Capital India, 3one4 Capital",15000000.0,,2021
DeHaat,Patna,AgriTech,DeHaat connects farmers to suppliers and buyers on a single platform.,"Prosus Ventures, RTP Global",30000000.0,Series C,2021
Samunnati,Chennai,AgriTech,Samunnati is a specialized agriculture value chain enabler providing innovative and customized financial and non-financial solutions.,"U.S. International Development Finance Corp, responsAbility",10000000.0,Debt,2021
